,Ticker,Open,High,Low,Close,Volume,Next_Close,Predicted_Close
220,AAPL,193.61000061035156,193.88999938964844,192.88999938964844,193.07000732421875,6773942.0,192.96499633789062,176.76344299316406
221,AAPL,193.0749969482422,193.44000244140625,192.88999938964844,192.96499633789062,3334201.0,193.09500122070312,176.7639617919922
222,AAPL,192.96499633789062,193.3000030517578,192.9600067138672,193.09500122070312,2510474.0,193.13999938964844,176.7646026611328
223,AAPL,193.09500122070312,193.36000061035156,193.02999877929688,193.13999938964844,2356084.0,193.0800018310547,176.76446533203125
224,AAPL,193.14500427246094,193.16000366210938,192.8300018310547,193.0800018310547,2499981.0,193.41209411621094,176.76370239257812
225,AAPL,193.08999633789062,193.4600067138672,192.9600067138672,193.41209411621094,2934413.0,193.0399932861328,176.7635955810547
226,AAPL,193.4199981689453,193.49000549316406,192.9199981689453,193.0399932861328,3715355.0,191.6385040283203,176.7624969482422
227,AAPL,192.49000549316406,192.89720153808594,191.44500732421875,191.6385040283203,8800358.0,191.68040466308594,176.76292419433594
228,AAPL,191.63499450683594,191.77499389648438,191.08999633789062,191.68040466308594,5823979.0,192.47999572753906,176.76707458496094
229,AAPL,191.67999267578125,192.52999877929688,191.5500030517578,192.47999572753906,5827388.0,192.9759979248047,176.76771545410156
230,AAPL,192.47500610351562,193.14999389648438,192.4600067138672,192.9759979248047,5731943.0,193.14999389648438,176.76467895507812
231,AAPL,192.97900390625,193.5,192.77999877929688,193.14999389648438,4552245.0,192.92999267578125,176.7616424560547
232,AAPL,193.1699981689453,193.24000549316406,192.75999450683594,192.92999267578125,3255762.0,193.1699981689453,176.76019287109375
233,AAPL,192.92999267578125,193.22000122070312,192.72999572753906,193.1699981689453,5694099.0,194.2490997314453,176.76068115234375
234,AAPL,194.13999938964844,194.66000366210938,193.72999572753906,194.2490997314453,8051158.0,194.0500030517578,176.76048278808594
235,AAPL,194.25,194.47999572753906,193.88999938964844,194.0500030517578,4231835.0,194.16000366210938,176.75572204589844
236,AAPL,194.05499267578125,194.42999267578125,193.99000549316406,194.16000366210938,2553278.0,193.6999969482422,176.75668334960938
237,AAPL,194.1649932861328,194.19000244140625,193.5800018310547,193.6999969482422,3732168.0,194.01499938964844,176.75653076171875
238,AAPL,193.6999969482422,194.07000732421875,193.6699981689453,194.01499938964844,2478139.0,193.6750030517578,176.75811767578125
239,AAPL,194.01499938964844,194.08999633789062,193.5500030517578,193.6750030517578,3023980.0,193.5800018310547,176.7577362060547
240,AAPL,193.6699981689453,193.8596954345703,193.1699981689453,193.5800018310547,5075432.0,193.50999450683594,176.75811767578125
241,AAPL,193.89999389648438,194.39999389648438,193.22030639648438,193.50999450683594,5115085.0,191.9600067138672,176.7585906982422
242,AAPL,193.50999450683594,193.5500030517578,191.90989685058594,191.9600067138672,4269845.0,191.89999389648438,176.75762939453125
243,AAPL,191.96499633789062,192.47999572753906,191.72500610351562,191.89999389648438,4320986.0,191.89999389648438,176.76150512695312
244,AAPL,191.90499877929688,192.22999572753906,191.77999877929688,191.89999389648438,3916853.0,192.1199951171875,176.76219177246094
