,Ticker,Open,High,Low,Close,Volume,Next_Close,Predicted_Close,price_t_plus_3,Predicted_Close_t_3
935,TSLA,181.11199951171875,182.1999969482422,180.38099670410156,180.47500610351562,13024837.0,180.8300018310547,175.75743103027344,178.1898956298828,176.98977661132812
936,TSLA,180.47000122070312,181.10000610351562,180.25999450683594,180.8300018310547,9843889.0,179.66969299316406,176.01824951171875,179.61000061035156,177.38204956054688
937,TSLA,180.83990478515625,180.89999389648438,179.5500030517578,179.66969299316406,8797078.0,178.1898956298828,177.20713806152344,180.1959991455078,177.05348205566406
938,TSLA,179.6699981689453,179.98829650878906,178.13999938964844,178.1898956298828,9000171.0,179.61000061035156,176.69342041015625,176.64999389648438,177.04270935058594
939,TSLA,178.1699981689453,179.74989318847656,178.1199951171875,179.61000061035156,6866229.0,180.1959991455078,175.84324645996094,176.50010681152344,176.4632568359375
940,TSLA,179.61000061035156,180.2100067138672,178.89010620117188,180.1959991455078,5318433.0,176.64999389648438,175.82638549804688,177.75,177.57272338867188
941,TSLA,181.8699951171875,181.89999389648438,175.91000366210938,176.64999389648438,23590223.0,176.50010681152344,176.8495330810547,177.02000427246094,179.61534118652344
942,TSLA,176.6580047607422,176.91990661621094,175.14999389648438,176.50010681152344,11191091.0,177.75,174.8079376220703,173.5399932861328,176.85499572753906
943,TSLA,176.50999450683594,177.88999938964844,176.47500610351562,177.75,6365449.0,177.02000427246094,173.26524353027344,173.7209930419922,176.09788513183594
944,TSLA,177.75840759277344,177.89999389648438,176.3699951171875,177.02000427246094,5905273.0,173.5399932861328,174.80178833007812,173.74000549316406,176.4105224609375
945,TSLA,177.02000427246094,177.10000610351562,173.4600067138672,173.5399932861328,9540047.0,173.7209930419922,174.55984497070312,177.8199005126953,176.853515625
946,TSLA,173.52999877929688,174.06919860839844,173.25999450683594,173.7209930419922,6050446.0,173.74000549316406,172.7203826904297,178.49000549316406,174.8831787109375
947,TSLA,173.72860717773438,174.30499267578125,173.5399932861328,173.74000549316406,4874167.0,177.8199005126953,171.76055908203125,178.80999755859375,174.4075164794922
